text,label
"烟叶的主要成分包括尼古丁、糖和蛋白质。","relevant"
"世界卫生组织建议尽量减少吸烟以降低健康风险。","irrelevant"
"烟草的发酵过程对于卷烟的最终风味至关重要。","relevant"
"每天坚持跑步有助于增强体质。","irrelevant"
"卷烟的滤嘴设计可以影响吸烟时的口感和吸入的有害物质量。","relevant"
"制造卷烟时需要严格控制温度和湿度以确保质量。","relevant"
"吸烟可能会导致多种疾病，包括肺癌和心脏病。","irrelevant"
"使用不同种类的烟叶可以调配出不同风味的卷烟产品。","relevant"
"烟草种植过程中需要注意病虫害防治以保证烟叶质量。","relevant"
"多喝水有助于保持身体健康。","irrelevant"
"加热不燃烧技术是一种新的卷烟替代产品。","relevant"
"卷烟包装设计不仅仅是为了美观，还要考虑防潮防破损。","relevant"
"在公共场所禁止吸烟是为了保护不吸烟者的健康。","irrelevant"
"烟叶在烘烤过程中会失去部分水分和重量。","relevant"
"吸烟成瘾主要是由于尼古丁对大脑的影响。","irrelevant"
"不同品牌的卷烟在配方和工艺上有显著区别。","relevant"
"使用先进的机械设备可以提高卷烟生产效率。","relevant"
"世界上有多个国家禁止烟草广告。","irrelevant"
"烟草的主要产地包括中国、巴西和美国。","relevant"
"吸烟者戒烟后会经历一段戒断症状。","irrelevant"
